Date,Currency,Unit_of_Measure,copper_price
2006-09-06,us dollar,tonne,7907
2006-09-07,us dollar,tonne,7980
2006-09-08,us dollar,tonne,7863
2006-09-11,us dollar,tonne,7608
2006-09-12,us dollar,tonne,7607
2006-09-13,us dollar,tonne,7445
2006-09-14,us dollar,tonne,7501
2006-09-15,us dollar,tonne,7410
2006-09-18,us dollar,tonne,7399
2006-09-19,us dollar,tonne,7460
2006-09-20,us dollar,tonne,7230
2006-09-21,us dollar,tonne,7473
2006-09-22,us dollar,tonne,7681
2006-09-25,us dollar,tonne,7401
2006-09-26,us dollar,tonne,7590
2006-09-27,us dollar,tonne,7707
2006-09-28,us dollar,tonne,7675
2006-09-29,us dollar,tonne,7601
2006-10-02,us dollar,tonne,7606
2006-10-03,us dollar,tonne,7391
2006-10-04,us dollar,tonne,7452
2006-10-05,us dollar,tonne,7251
2006-10-06,us dollar,tonne,7371
2006-10-09,us dollar,tonne,7540
2006-10-10,us dollar,tonne,7455
2006-10-11,us dollar,tonne,7441
2006-10-12,us dollar,tonne,7471
2006-10-13,us dollar,tonne,7522
2006-10-16,us dollar,tonne,7590
2006-10-17,us dollar,tonne,7740
2006-10-18,us dollar,tonne,7625
2006-10-19,us dollar,tonne,7630
2006-10-20,us dollar,tonne,7650
2006-10-23,us dollar,tonne,7586
2006-10-24,us dollar,tonne,7456
2006-10-25,us dollar,tonne,7480
2006-10-26,us dollar,tonne,7470
2006-10-27,us dollar,tonne,7513
2006-10-30,us dollar,tonne,7360
2006-10-31,us dollar,tonne,7410
2006-11-01,us dollar,tonne,7295
2006-11-02,us dollar,tonne,7240
2006-11-03,us dollar,tonne,7295
2006-11-06,us dollar,tonne,7269
2006-11-07,us dollar,tonne,7396
2006-11-08,us dollar,tonne,7285
2006-11-09,us dollar,tonne,7221
2006-11-10,us dollar,tonne,7070
2006-11-13,us dollar,tonne,6831
2006-11-14,us dollar,tonne,6967
2006-11-15,us dollar,tonne,6762
2006-11-16,us dollar,tonne,6877
2006-11-17,us dollar,tonne,6671
2006-11-20,us dollar,tonne,6890
2006-11-21,us dollar,tonne,6857.5
2006-11-22,us dollar,tonne,6965
2006-11-23,us dollar,tonne,6890
2006-11-24,us dollar,tonne,6997
2006-11-27,us dollar,tonne,7039
2006-11-28,us dollar,tonne,6982
2006-11-29,us dollar,tonne,6902
2006-11-30,us dollar,tonne,6936
2006-12-01,us dollar,tonne,6950
2006-12-04,us dollar,tonne,6931
2006-12-05,us dollar,tonne,7049
2006-12-06,us dollar,tonne,6945
2006-12-07,us dollar,tonne,6802
2006-12-08,us dollar,tonne,6830
2006-12-11,us dollar,tonne,6801
2006-12-12,us dollar,tonne,6819
2006-12-13,us dollar,tonne,6710
2006-12-14,us dollar,tonne,6780
2006-12-15,us dollar,tonne,6711
2006-12-18,us dollar,tonne,6600
2006-12-19,us dollar,tonne,6617
2006-12-20,us dollar,tonne,6440
2006-12-21,us dollar,tonne,6431
2006-12-22,us dollar,tonne,6375
2006-12-27,us dollar,tonne,6405
2006-12-28,us dollar,tonne,6341
2006-12-29,us dollar,tonne,6290
2007-01-02,us dollar,tonne,6201
2007-01-03,us dollar,tonne,5785
2007-01-04,us dollar,tonne,5602
2007-01-05,us dollar,tonne,5756
2007-01-08,us dollar,tonne,5506
2007-01-09,us dollar,tonne,5541
2007-01-10,us dollar,tonne,5715
2007-01-11,us dollar,tonne,5801
2007-01-12,us dollar,tonne,5806
2007-01-15,us dollar,tonne,5652
2007-01-16,us dollar,tonne,5682
2007-01-17,us dollar,tonne,5550
2007-01-18,us dollar,tonne,5601
2007-01-19,us dollar,tonne,5450
2007-01-22,us dollar,tonne,5481
2007-01-23,us dollar,tonne,5568
2007-01-24,us dollar,tonne,5672
2007-01-25,us dollar,tonne,5825
2007-01-26,us dollar,tonne,5713
2007-01-29,us dollar,tonne,5581
2007-01-30,us dollar,tonne,5596
2007-01-31,us dollar,tonne,5651
2007-02-01,us dollar,tonne,5606
2007-02-02,us dollar,tonne,5501
2007-02-05,us dollar,tonne,5290
2007-02-06,us dollar,tonne,5356
2007-02-07,us dollar,tonne,5331
2007-02-08,us dollar,tonne,5226
2007-02-09,us dollar,tonne,5401
2007-02-12,us dollar,tonne,5471
2007-02-13,us dollar,tonne,5572
2007-02-14,us dollar,tonne,5621
2007-02-15,us dollar,tonne,5835
2007-02-16,us dollar,tonne,5779
2007-02-19,us dollar,tonne,5770.5
2007-02-20,us dollar,tonne,5682
2007-02-21,us dollar,tonne,5615
2007-02-22,us dollar,tonne,5875
