Date,Crude_Oil_Index
2019-01-01,52.97
2018-12-01,49.23
2018-11-01,55.64
2018-10-01,65.31
2018-09-01,73.25
2018-08-01,69.8
2018-07-01,69.83
2018-06-01,74.15
2018-05-01,67.04
2018-04-01,68.57
2018-03-01,64.94
2018-02-01,61.64
2018-01-01,64.73
2017-12-01,60.42
2017-11-01,57.4
2017-10-01,54.38
2017-09-01,51.67
2017-08-01,47.23
2017-07-01,50.17
2017-06-01,46.04
2017-05-01,48.32
2017-04-01,49.33
2017-03-01,50.6
2017-02-01,54.01
2017-01-01,52.81
2016-12-01,53.72
2016-11-01,49.44
2016-10-01,46.86
2016-09-01,48.24
2016-08-01,44.7
2016-07-01,41.6
2016-06-01,48.33
2016-05-01,49.1
2016-04-01,45.92
2016-03-01,38.34
2016-02-01,33.75
2016-01-01,33.62
2015-12-01,37.04
2015-11-01,41.65
2015-10-01,46.59
2015-09-01,45.09
2015-08-01,49.2
2015-07-01,47.12
2015-06-01,59.47
2015-05-01,60.3
2015-04-01,59.63
2015-03-01,47.6
2015-02-01,49.76
2015-01-01,48.24
2014-12-01,53.27
2014-11-01,66.15
2014-10-01,80.54
2014-09-01,91.16
2014-08-01,95.96
2014-07-01,98.17
2014-06-01,105.37
2014-05-01,102.71
2014-04-01,99.74
2014-03-01,101.58
2014-02-01,102.59
2014-01-01,97.49
2013-12-01,98.42
2013-11-01,92.72
2013-10-01,96.38
2013-09-01,102.33
2013-08-01,107.65
2013-07-01,105.03
2013-06-01,96.56
2013-05-01,91.97
2013-04-01,93.46
2013-03-01,97.23
2013-02-01,92.05
2013-01-01,97.49
2012-12-01,91.82
2012-11-01,88.91
2012-10-01,86.24
2012-09-01,92.19
2012-08-01,96.47
2012-07-01,88.06
2012-06-01,84.96
2012-05-01,86.53
2012-04-01,104.87
2012-03-01,103.02
2012-02-01,107.07
2012-01-01,98.48
