Date,CU_Cathode_FM,CU_Cathode_US_DOM,CU_Cathode_RSA,CU_Cathode_Rotterdam,CU_Cathode_Germany,CU_Cathode_Shangai,CU_Cathode_Japan,CU_Cathode_Taiwan,CU_Cathode_Seasia,Currency,Unit_of_Measure
1989-04-13,NULL,1.00E-05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
1990-02-08,NULL,1.00E-05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
1990-12-10,NULL,1.00E-05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
1992-01-16,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
1993-06-02,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
1994-07-01,NULL,1.00E-05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
1995-07-18,NULL,1.00E-05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
1996-05-20,NULL,1.00E-05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
1997-03-21,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
1998-04-21,NULL,0.00028,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
1999-02-12,NULL,0.00023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2000-03-17,NULL,0.00026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2001-04-10,NULL,0.0003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2002-05-21,NULL,0.0003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2003-03-12,0.00039,0.00035,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2004-04-12,0.00068,0.0008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-05-13,0.00074,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-11,0.00175,0.00075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2007-07-03,0.00182,0.00091,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2008-08-01,0.00185,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2009-05-27,0.00108,0.00052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2009-09-02,0.00142,0.00052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2009-12-09,0.00157,0.00041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-02-19,0.0017,0.00044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-05-25,0.00154,0.00052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-16,0.00167,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-17,0.0017,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-18,0.0017,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-19,0.00169,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-20,0.00167,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-23,0.00167,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-24,0.00165,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-25,0.00163,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-26,0.00168,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-27,0.00171,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-30,0.00173,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-08-31,0.00171,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-09-01,0.00176,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-09-02,0.00177,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-09-03,0.00177,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2010-09-06,0.00177,0.0006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
