Date,CU_Concentrate_TC,CU_Concentrate_RC
2013-06-17,65.52,6.552
2013-06-18,65.52,6.552
2013-06-19,65.52,6.552
2013-06-20,65.52,6.552
2013-06-21,65.52,6.552
2013-06-24,65.52,6.552
2013-06-25,65.52,6.552
2013-06-26,65.52,6.552
2013-06-27,65.52,6.552
2013-06-28,65.52,6.552
2013-07-01,65.52,6.552
2013-07-02,65.52,6.552
2013-07-03,65.52,6.552
2013-07-04,65.52,6.552
2013-07-05,65.52,6.552
2013-07-08,65.52,6.552
2013-07-09,65.52,6.552
2013-07-10,65.52,6.552
2013-07-11,65.52,6.552
2013-07-12,65.52,6.552
2013-07-15,72.64,7.264
2013-07-16,72.64,7.264
2013-07-17,72.64,7.264
2013-07-18,72.64,7.264
2013-07-19,72.64,7.264
2013-07-22,72.64,7.264
2013-07-23,72.64,7.264
2013-07-24,72.64,7.264
2013-07-25,72.64,7.264
2013-07-26,72.64,7.264
2013-07-29,72.64,7.264
2013-07-30,72.64,7.264
2013-07-31,69.48,6.948
2013-08-01,69.48,6.948
2013-08-02,69.48,6.948
2013-08-05,69.48,6.948
2013-08-06,69.48,6.948
2013-08-07,69.48,6.948
2013-08-08,69.48,6.948
2013-08-09,69.48,6.948
2013-08-12,69.48,6.948
2013-08-13,69.48,6.948
2013-08-14,69.48,6.948
2013-08-15,69.48,6.948
2013-08-16,69.48,6.948
2013-08-19,69.48,6.948
2013-08-20,69.48,6.948
2013-08-21,69.48,6.948
2013-08-22,69.48,6.948
2013-08-23,69.48,6.948
2013-08-26,69.48,6.948
2013-08-27,69.48,6.948
2013-08-28,69.48,6.948
2013-08-29,69.48,6.948
2013-08-30,69.48,6.948
2013-09-02,78.46,7.846
2013-09-03,78.46,7.846
2013-09-04,78.46,7.846
2013-09-05,78.46,7.846
2013-09-06,78.46,7.846
2013-09-09,78.46,7.846
2013-09-10,78.46,7.846
2013-09-11,78.46,7.846
2013-09-12,78.46,7.846
2013-09-13,78.46,7.846
2013-09-16,82.05,8.205
2013-09-17,82.05,8.205
2013-09-18,82.05,8.205
2013-09-19,82.05,8.205
2013-09-20,82.05,8.205
2013-09-23,82.05,8.205
2013-09-24,82.05,8.205
2013-09-25,82.05,8.205
2013-09-26,82.05,8.205
2013-09-27,82.05,8.205
2013-09-30,97.17,9.717
2013-10-01,97.17,9.717
2013-10-02,97.17,9.717
2013-10-03,97.17,9.717
2013-10-04,97.17,9.717
2013-10-07,97.17,9.717
2013-10-08,97.17,9.717
2013-10-09,97.17,9.717
2013-10-10,97.17,9.717
2013-10-11,97.17,9.717
2013-10-14,97.17,9.717
2013-10-15,99.52,9.952
2013-10-16,99.52,9.952
2013-10-17,99.52,9.952
2013-10-18,99.52,9.952
2013-10-21,99.52,9.952
2013-10-22,99.52,9.952
2013-10-23,99.52,9.952
2013-10-24,99.52,9.952
2013-10-25,99.52,9.952
2013-10-28,99.52,9.952
2013-10-29,99.52,9.952
2013-10-30,99.52,9.952
2013-10-31,101.57,10.157
2013-11-01,101.57,10.157
2013-11-04,101.57,10.157
2013-11-05,101.57,10.157
2013-11-06,101.57,10.157
2013-11-07,101.57,10.157
2013-11-08,101.57,10.157
2013-11-11,101.57,10.157
2013-11-12,101.57,10.157
2013-11-13,101.57,10.157
2013-11-14,101.57,10.157
