level_0,index,,,CU_Cathode_FM_x,CU_Cathode_US_DOM_x,CU_Cathode_RSA_x,CU_Cathode_Rotterdam_x,CU_Cathode_Germany_x,CU_Cathode_Shangai_x,CU_Cathode_Japan_x,CU_Cathode_Taiwan_x,CU_Cathode_Seasia_x,Heavy_CU_Wire_1_x,Heavy_CU_Wire_2_x,Redbrass_Scrap_x,Yellowbrass_Scrap_x,Cu_Wire_Barley_x,Cu_Wire_Berry_x,Heavy_CU_Scrap_x,Cu_Wire_Scrap_x,Production_x,Consumption_x,CU_Concentrate_TC_x,CU_Concentrate_RC_x,CU_Cathode_FM_y,CU_Cathode_US_DOM_y,CU_Cathode_RSA_y,CU_Cathode_Rotterdam_y,CU_Cathode_Germany_y,CU_Cathode_Shangai_y,CU_Cathode_Japan_y,CU_Cathode_Taiwan_y,CU_Cathode_Seasia_y,Heavy_CU_Wire_1_y,Heavy_CU_Wire_2_y,Redbrass_Scrap_y,Yellowbrass_Scrap_y,Cu_Wire_Barley_y,Cu_Wire_Berry_y,Heavy_CU_Scrap_y,Cu_Wire_Scrap_y,Production_y,Consumption_y,CU_Concentrate_TC_y,CU_Concentrate_RC_y,,,Date,copper_price,pred_price,Error
234,234,,,0.001472,0.00074,88724.342,46,92.5,72.3,70,70.5,80,0.00104,0.00111,0.001206,0.00099,0.001388,0.001358,0.001346,0.001246,6331,6394,79.8,7.98,0.001472,0.00074,88724.342,46,92.5,72.3,70,70.5,80,0.00104,0.00111,0.001206,0.00099,0.001388,0.001358,0.001346,0.001246,,,79.8,7.98,,,01-07-2018,6472.8,6271.502755,201.30
235,235,,,0.001428,0.000788,83720.192,46,92.5,71.5,70,70,77.6,0.00104,0.00111,0.001176,0.000966,0.001346,0.001312,0.001302,0.001208,6331,6394,81.06,8.106,0.001428,0.000788,83720.192,46,92.5,71.5,70,70,77.6,0.00104,0.00111,0.001176,0.000966,0.001346,0.001312,0.001302,0.001208,,,81.06,8.106,,,08-07-2018,6242.4,6091.272452,151.13
236,236,,,0.001404,0.0008,80945.814,46,92.5,71.5,70,70.8,78.2,0.00096,0.00103,0.001148,0.000944,0.00132,0.001292,0.00128,0.001188,6331,6394,86.1,8.61,0.001404,0.0008,80945.814,46,92.5,71.5,70,70.8,78.2,0.00096,0.00103,0.001148,0.000944,0.00132,0.001292,0.00128,0.001188,,,86.1,8.61,,,15-07-2018,6081.5,5992.965014,88.53
237,237,,,0.00143,0.0008,82706.948,49.2,92.5,72.5,70,71,77.7,0.00096,0.00103,0.001134,0.000934,0.001352,0.001324,0.00131,0.001212,6331,6394,86.1,8.61,0.00143,0.0008,82706.948,49.2,92.5,72.5,70,71,77.7,0.00096,0.00103,0.001134,0.000934,0.001352,0.001324,0.00131,0.001212,,,86.1,8.61,,,22-07-2018,6215.7,6099.464738,116.24
238,238,,,0.001418,0.0008,81753.974,50,92.5,75,70,71,77.5,0.000954,0.001024,0.00113,0.000924,0.001342,0.001312,0.001294,0.001194,6331,6394,83.62,8.362,0.001418,0.0008,81753.974,50,92.5,75,70,71,77.5,0.000954,0.001024,0.00113,0.000924,0.001342,0.001312,0.001294,0.001194,6331,6394,83.62,8.362,,,29-07-2018,6153,6050.311019,102.69
239,239,,,0.001406,0.0008,82388.992,50,92.5,75.4,70,71,77.5,0.00095,0.00102,0.001124,0.00092,0.00133,0.0013,0.001284,0.00118,6331,6394,83,8.3,0.001406,0.0008,82388.992,50,92.5,75.4,70,71,77.5,0.00095,0.00102,0.001124,0.00092,0.00133,0.0013,0.001284,0.00118,,,83,8.3,,,05-08-2018,6130.4,6001.1573,129.24
240,240,,,0.001354,0.0008,85841.084,50,92.5,77.4,70,71,77.5,0.000938,0.001008,0.001114,0.000908,0.001276,0.001244,0.001234,0.001126,6331,6394,83.3,8.33,0.001354,0.0008,85841.084,50,92.5,77.4,70,71,77.5,0.000938,0.001008,0.001114,0.000908,0.001276,0.001244,0.001234,0.001126,,,83.3,8.33,,,12-08-2018,5937.4,5788.157851,149.24
241,241,,,0.001374,0.0008,86353.318,50,92.5,83.8,70,71,77.5,0.00093,0.001,0.00108,0.000888,0.001288,0.001258,0.001252,0.001138,6331,6394,83.5,8.35,0.001374,0.0008,86353.318,50,92.5,83.8,70,71,77.5,0.00093,0.001,0.00108,0.000888,0.001288,0.001258,0.001252,0.001138,,,83.5,8.35,,,19-08-2018,5980,5870.080716,109.92
242,242,,,0.001384,0.0008,87166.278,50,92.5,85.1,70,72.2,77.5,0.00093,0.001,0.001048,0.000856,0.001306,0.001276,0.001268,0.001144,6331,6394,83.6,8.36,0.001384,0.0008,87166.278,50,92.5,85.1,70,72.2,77.5,0.00093,0.001,0.001048,0.000856,0.001306,0.001276,0.001268,0.001144,6331,6394,83.6,8.36,,,26-08-2018,6067.125,5911.042149,156.08
243,243,,,0.001342,0.0008,89176.792,46,92.5,85.5,70,72.5,83.5,0.000906,0.000976,0.001016,0.000822,0.001262,0.001234,0.001226,0.001094,6434,6615,84,8.4,0.001342,0.0008,89176.792,46,92.5,85.5,70,72.5,83.5,0.000906,0.000976,0.001016,0.000822,0.001262,0.001234,0.001226,0.001094,,,84,8.4,,,02-09-2018,5889.4,5739.004132,150.40
244,244,,,0.001354,0.0008,88803.48,45,92.5,92.7,70,78.5,85,0.0009,0.00097,0.001,0.00081,0.001274,0.001248,0.001238,0.001108,6434,6615,84,8.4,0.001354,0.0008,88803.48,45,92.5,92.7,70,78.5,85,0.0009,0.00097,0.001,0.00081,0.001274,0.001248,0.001238,0.001108,,,84,8.4,,,09-09-2018,5903.4,5788.157851,115.24
245,245,,,0.001396,0.0008,88917.596,45,92.5,107,82,90,91,0.00089,0.00096,0.001,0.00081,0.001322,0.00129,0.00128,0.001158,6434,6615,84,8.4,0.001396,0.0008,88917.596,45,92.5,107,82,90,91,0.00089,0.00096,0.001,0.00081,0.001322,0.00129,0.00128,0.001158,,,84,8.4,,,16-09-2018,6036,5960.195868,75.80
246,246,,,0.001438,0.0008,89398.504,45,92.5,109.5,85,84.5,90.5,0.00089,0.00096,0.001006,0.000816,0.001358,0.001328,0.001318,0.001202,6434,6615,84.48,8.448,0.001438,0.0008,89398.504,45,92.5,109.5,85,84.5,90.5,0.00089,0.00096,0.001006,0.000816,0.001358,0.001328,0.001318,0.001202,,,84.48,8.448,,,23-09-2018,6251,6132.233884,118.77
