Date,Spot
2006-01-01,4607.75
2006-01-08,4686.1
2006-01-15,4723.0
2006-01-22,4815.2
2006-01-29,4984.9
2006-02-05,5070.9
2006-02-12,4937.0
2006-02-19,4975.5
2006-02-26,4921.1
2006-03-05,4892.8
2006-03-12,4999.6
2006-03-19,5212.1
2006-03-26,5383.0
2006-04-02,5700.6
2006-04-09,6043.0
2006-04-16,6594.25
2006-04-23,7165.6
2006-04-30,7496.75
2006-05-07,8195.6
2006-05-14,8252.6
2006-05-21,8034.8
2006-05-28,8063.5
2006-06-04,7611.0
2006-06-11,6952.2
2006-06-18,6856.6
2006-06-25,7111.4
2006-07-02,7524.4
2006-07-09,8016.8
2006-07-16,7776.6
2006-07-23,7499.0
2006-07-30,7827.4
2006-08-06,7899.1
2006-08-13,7597.6
2006-08-20,7599.4
2006-08-27,7529.5
2006-09-03,7852.4
2006-09-10,7514.2
2006-09-17,7448.6
2006-09-24,7594.8
2006-10-01,7414.2
2006-10-08,7485.8
2006-10-15,7647.0
2006-10-22,7501.0
2006-10-29,7320.0
2006-11-05,7248.2
2006-11-12,6821.6
2006-11-19,6919.9
2006-11-26,6961.8
2006-12-03,6911.4
2006-12-10,6764.2
2006-12-17,6492.6
2006-12-24,6345.333333333333
2006-12-31,5836.0
2007-01-07,5673.8
2007-01-14,5587.0
2007-01-21,5651.8
2007-01-28,5587.0
2007-02-04,5320.8
2007-02-11,5655.6
2007-02-18,5825.7
2007-02-25,6131.6
2007-03-04,6052.6
2007-03-11,6333.2
2007-03-18,6734.6
2007-03-25,6821.2
2007-04-01,7244.0
2007-04-08,7875.25
2007-04-15,7966.2
2007-04-22,7886.6
2007-04-29,7998.1
2007-05-06,8068.25
2007-05-13,7625.4
2007-05-20,7340.8
2007-05-27,7392.0
2007-06-03,7498.1
2007-06-10,7357.6
2007-06-17,7564.5
2007-06-24,7476.6
2007-07-01,7859.8
2007-07-08,8028.7
2007-07-15,7961.8
2007-07-22,8026.2
2007-07-29,8007.8
2007-08-05,7694.9
2007-08-12,7388.3
2007-08-19,7234.2
2007-08-26,7429.0
2007-09-02,7356.7
2007-09-09,7389.4
2007-09-16,7758.0
2007-09-23,8091.6
2007-09-30,8218.8
2007-10-07,8088.4
2007-10-14,8049.5
2007-10-21,7802.5
2007-10-28,7718.4
2007-11-04,7315.2
2007-11-11,6931.3
2007-11-18,6631.6
2007-11-25,6736.2
2007-12-02,6656.0
2007-12-09,6563.0
2007-12-16,6442.0
2007-12-23,6793.0
2007-12-30,6774.5
2008-01-06,7137.8
2008-01-13,7158.1
2008-01-20,7008.4
2008-01-27,7149.0
2008-02-03,7328.0
2008-02-10,7776.8
2008-02-17,8145.8
2008-02-24,8409.0
2008-03-02,8641.4
